id,current_price,market_cap,price_change_percentage_24h,ath,atl,high_24h,low_24h,timestamp
tezos,0.507874,542268808,-0.18806,9.12,0.350476,0.526926,0.485621,11-12-2025 21-42-47
virtual-protocol,0.820541,538341976,-8.04325,5.07,0.00748604,0.89282,0.795586,11-12-2025 21-42-47
blockstack,0.294874,535758618,-7.13707,3.86,0.04559639,0.317887,0.28974,11-12-2025 21-42-47
lido-dao,0.592313,528713843,-8.79792,7.3,0.40615,0.64969,0.576807,11-12-2025 21-42-47
bridged-wrapped-ether-pundi-aifx-omnilayer,35382014.0,525066363,0.0,35382014.0,35382014.0,35382014.0,35382014.0,11-12-2025 21-42-47
starknet,0.108285,519290874,-3.58639,4.41,0.082871,0.112313,0.103904,11-12-2025 21-42-47
arbitrum-bridged-weth-arbitrum-one,3210.3,515912296,-5.58836,4952.19,1395.31,3400.32,3159.69,11-12-2025 21-42-47
gteth,3210.39,512697909,-5.60116,4751.71,2627.71,3400.88,3154.77,11-12-2025 21-42-47
true-usd,0.997498,493220338,-0.10167,1.62,0.88355,0.99897,0.997061,11-12-2025 21-42-47
celestia,0.577927,492465743,-9.25298,20.85,0.510806,0.636855,0.570019,11-12-2025 21-42-47
cgeth-hashkey-cloud,2460.42,491909683,,4746.13,1362.23,,,11-12-2025 21-42-47
ether-fi,0.808335,491793273,-8.33026,8.53,0.40432,0.881791,0.779845,11-12-2025 21-42-47
telcoin,0.0050962,484437461,-8.09329,0.064483,6.474e-05,0.00555125,0.00490738,11-12-2025 21-42-47
stader-ethx,3455.4,481198309,-5.44389,5253.42,1474.49,3656.13,3391.12,11-12-2025 21-42-47
msol,181.69,479076211,-3.83465,363.77,8.93,189.53,174.19,11-12-2025 21-42-47
eutbl,1.23,477526397,0.47923,1.24,1.011,1.23,1.22,11-12-2025 21-42-47
wrapped-apecoin,0.233415,468490457,-5.2135,17.57,1.7e-17,0.246254,0.224081,11-12-2025 21-42-47
the-graph,0.04386697,465697138,-7.70795,2.84,0.04276156,0.04760347,0.04276156,11-12-2025 21-42-47
floki,4.74e-05,457713706,-8.87686,0.00034495,8.428e-08,5.201e-05,4.577e-05,11-12-2025 21-42-47
gho,1.0,454133309,0.00524,1.03,0.917065,1.001,0.998444,11-12-2025 21-42-47
ether-fi-liquid-eth,3379.97,452390416,-6.48624,4507.99,2783.66,3623.43,3356.03,11-12-2025 21-42-47
kaia,0.0763,446520437,-2.41467,0.406698,0.055452,0.078188,0.073936,11-12-2025 21-42-47
mantle-bridged-usdt-mantle,1.001,435868160,0.26425,1.26,0.517934,1.01,0.986666,11-12-2025 21-42-47
doublezero,0.125375,435839665,-5.275,0.893679,0.101591,0.132636,0.123033,11-12-2025 21-42-47
sweth,3529.32,428187819,-5.4188,5370.2,1516.13,3731.52,3467.85,11-12-2025 21-42-47
newton-project,0.00467179,425327490,-0.78868,0.01727373,3.8e-06,0.00471195,0.00466974,11-12-2025 21-42-47
iota,0.101235,423586836,-6.67336,5.25,0.081637,0.108474,0.100014,11-12-2025 21-42-47
ethereum-name-service,10.97,418787202,-7.46888,83.4,6.69,11.85,10.77,11-12-2025 21-42-47
basic-attention-token,0.277806,414535206,2.32732,1.9,0.072394,0.277053,0.242057,11-12-2025 21-42-47
bittorrent,4.17331e-07,412135694,-1.0239,3.43e-06,3.65368e-07,4.47459e-07,4.1584e-07,11-12-2025 21-42-47
coinbase-wrapped-staked-eth,3571.12,410662440,-5.66847,5441.47,1036.96,3785.71,3511.38,11-12-2025 21-42-47
trust-wallet-token,0.9806,408275668,-4.3071,2.72,0.00277641,1.025,0.968771,11-12-2025 21-42-47
usdb,1.008,405952102,1.01017,1.088,0.831432,1.016,0.973445,11-12-2025 21-42-47
bitcoin-cash-sv,20.13,401718366,-2.14969,489.75,18.95,20.58,19.83,11-12-2025 21-42-47
steakhouse-usdc-morpho-vault,1.11,401502567,0.00821,9.61,1.034,1.11,1.11,11-12-2025 21-42-47
sun-token,0.02092578,401337219,2.39389,66.45,0.00462303,0.02100908,0.0204022,11-12-2025 21-42-47
sbtc-2,91306.0,400231664,-2.55347,209313.0,50597.0,93717.0,89405.0,11-12-2025 21-42-47
dogwifcoin,0.400627,400096560,-3.67068,4.83,0.00155464,0.415893,0.37126,11-12-2025 21-42-47
lorenzo-wrapped-bitcoin,90454.0,389737209,,115819.0,82472.0,,,11-12-2025 21-42-47
merlin-chain,0.364466,382402966,5.97589,1.45,0.071472,0.374812,0.338846,11-12-2025 21-42-47
just,0.03828563,378848003,0.57409,0.193254,0.00476275,0.03841269,0.03789713,11-12-2025 21-42-47
pendle,2.27,373224207,-8.63974,7.5,0.03377729,2.49,2.22,11-12-2025 21-42-47
conflux-token,0.072221,372117288,-5.77655,1.7,0.02199898,0.076662,0.070776,11-12-2025 21-42-47
pyth-network,0.064493,370772081,-9.92167,1.2,0.0624,0.071597,0.0624,11-12-2025 21-42-47
bitcoin-avalanche-bridged-btc-b,91286.0,370345303,-2.48696,125862.0,7806.11,93680.0,89380.0,11-12-2025 21-42-47
olympus,22.41,366470594,-2.34821,1415.26,7.54,23.0,22.16,11-12-2025 21-42-47
decred,20.95,358807638,-5.03795,247.35,0.43154,22.06,20.1,11-12-2025 21-42-47
binance-peg-dogecoin,0.139402,357490806,-6.03641,0.480585,0.04955727,0.148526,0.136428,11-12-2025 21-42-47
the-sandbox,0.136703,357044291,-8.49129,8.4,0.02897764,0.149388,0.133788,11-12-2025 21-42-47
